Create Project Proposal,30-09-2018,20-10-2018
Past Projects current academia and Feasibility Research,30-09-2018,21-10-2018
Project Code development,21-10-2018,20-02-2019
Methodology research,21-10-2018,20-12-2018
Create and implement SDD,21-10-2018,20-02-2019
Set up development environment,21-10-2018,28-10-2018
Implement Pre-built solutions e.g. Call Graph generators or Database Diagram generators,28-10-2018,27-11-2018
Start Maturing the project with menus options modularisation,04-12-2018,02-02-2019
Implement Unit Tests,27-11-2018,20-02-2019
Implement System tests,27-12-2018,15-03-2019
